custid,gender,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,purchased,ct_cov,vdays,day_mean_amt,daycov,top_prod
C2086,f,0,0,0.24,0,0.08,0,0.52,0,0,0.03,0.14,0.45,21104,6,0.19,0.68,0.13,0.27,0,0.19,0,0.54,0,0,6,1.76490604,4,5276,0.79302671,bottledfoods
C2087,f,0.24,0.09,0.15,0.09,0.1,0,0.16,0.03,0,0.11,0.04,0.82,83500,31,0.07,0.08,0.85,0.09,0.4,0.11,0.07,0.06,0.1,0.17,31,0.807264294,23,3630.434783,1.021855919,icecream
C2088,f,0.17,0.18,0.09,0.1,0.14,0,0.17,0,0,0.13,0.02,0.73,131075,27,0.09,0.86,0.05,0,0.06,0.54,0.19,0.12,0.04,0.05,27,0.81591222,14,9362.5,0.915066996,fruitvegetables
C2089,f,0.2,0,0.75,0,0,0,0,0,0,0,0.05,0.27,5330,3,0,1,0,0,0.75,0,0,0,0,0.25,3,2.492667986,2,2665,0.703126818,bottledfoods
C2090,m,0,0,1,0,0,0,0,0,0,0,0,0.09,1500,1,0,0,1,0,0,0,0,1,0,0,1,3.31662479,1,1500,0,pre-processedmeals
C2091,f,0.04,0,0.18,0.16,0.17,0,0.23,0.07,0.03,0.07,0.04,0.82,101556,19,0.1,0.9,0,0,0.35,0.13,0,0,0.15,0.38,19,0.886618563,10,10155.6,0.354331893,chillednoodles
C2092,m,1,0,0,0,0,0,0,0,0,0,0,0.09,4500,1,0,0,1,0,0,0,0,0,0,1,1,3.31662479,1,4500,0,eggs
C2093,m,0,0,1,0,0,0,0,0,0,0,0,0.09,2550,1,0,1,0,1,0,0,0,0,0,0,1,3.31662479,1,2550,0,noodles
C2094,f,0.03,0,0.22,0.27,0,0,0.2,0,0.19,0,0.09,0.55,109053,24,0,0.38,0.62,0.06,0.21,0.11,0.2,0.11,0.07,0.23,24,1.171691625,9,12117,0.610086795,beans
C2095,f,0.15,0.04,0.01,0.34,0.15,0,0.06,0,0,0.25,0,0.64,104233,24,0,0.41,0.59,0.21,0,0.71,0,0,0,0.08,24,1.287981151,13,8017.923077,0.802176923,milk
