"","custid","ct_dairy","ct_drink","ct_fastfood","ct_fruite","ct_house_prod","ct_makeup","ct_meat","ct_sauce","ct_seafood","ct_snack","ct_vegetable","coverage","g_paid","buyed_prod_num","hf_6-11","hf_12-17","hf_18-23","wdf_Sun","wdf_Mon","wdf_Tue","wdf_Wed","wdf_Thu","wdf_Fri","wdf_Sat","purchase","ct_cov","vdays","day_mean_amt","daycov","top_prod"
"1032","C1214",0.04,0.17,0.31,0,0.07,0,0.23,0,0,0.09,0.09,0.64,57825,15,0.28,0.1,0.62,0.12,0.11,0,0.04,0.21,0.11,0.4,13,1.15469215258432,10,5782.5,0.568376532127803,"chillednoodles"
"1033","C1215",0.05,0,0.08,0.05,0.33,0,0,0.1,0.1,0.28,0,0.64,59576,8,0.28,0.56,0.15,0.1,0.05,0.04,0.44,0,0,0.37,8,1.26364904301809,7,8510.85714285714,0.844673432697643,"chilledagriculturalproducts"
"1034","C1216",0,0,0,0,0,0,0,0,0,1,0,0.09,10000,1,0,1,0,0,0,1,0,0,0,0,1,3.3166247903554,1,10000,0,"minorcereals"
"1035","C1217",0.1,0.02,0.25,0,0.19,0,0.05,0.08,0.05,0.24,0.02,0.82,145640,24,0.26,0.54,0.21,0.13,0,0,0,0,0.87,0,17,1.02936370394426,8,18205,0.717713444472709,"chilleddairymilks"
"1036","C1218",0.2,0,0,0.6,0,0,0,0,0.14,0,0.06,0.36,77493,13,0,0.92,0.08,0.04,0.52,0,0.13,0.12,0.14,0.04,9,1.99989187835884,7,11070.4285714286,0.730447399831618,"fermentedmilk"
"1037","C1219",0.1,0,0.07,0.56,0.12,0,0.07,0,0.03,0,0.05,0.64,176882,30,0.07,0.87,0.06,0.21,0.08,0.03,0.24,0.14,0.1,0.21,15,1.78931955852424,21,8422.95238095238,0.699487344047084,"chilledagriculturalproducts"
"1038","C1220",0.14,0,0.03,0.03,0.09,0,0.5,0,0.11,0.08,0.03,0.82,108833,17,0,0.15,0.85,0.1,0.19,0,0.45,0.15,0.11,0,15,1.57255768933168,13,8371.76923076923,1.04449389061461,"fermentedmilk"
"1039","C1224",0.1,0.02,0.08,0.06,0.08,0,0.16,0.08,0.07,0.22,0.14,0.91,190439,51,0.49,0.28,0.23,0.11,0.12,0.17,0.16,0.23,0.13,0.08,26,0.691246915345006,40,4760.975,0.839036003385256,"eidbleherbs"
"1040","C1225",0.72,0.28,0,0,0,0,0,0,0,0,0,0.18,3600,2,0,1,0,0,0,0,0,0,1,0,2,2.47892350192479,1,3600,0,"milk"
"1041","C1226",0,0,0,0,0,0,0,0,0,0.35,0.65,0.18,2590,2,0.35,0,0.65,0,0,0.65,0,0,0,0.35,2,2.3479507016606,2,1295,0.431362437943917,"candy-gum"
"1042","C1229",0,0,0.08,0.4,0.22,0,0.08,0,0.09,0.11,0.02,0.64,96920,18,0.01,0.62,0.37,0.06,0.14,0,0.08,0.05,0.29,0.38,14,1.34340898878092,11,8810.90909090909,0.961811652275883,"banana/importedfruits"
"1043","C1230",0,0,0,0,0,0,1,0,0,0,0,0.09,9900,1,0,0,1,1,0,0,0,0,0,0,1,3.3166247903554,1,9900,0,"seasonedmeat"
"1044","C1232",0.54,0,0,0,0,0,0,0.22,0,0,0.24,0.27,17960,4,0,0.78,0.22,0.22,0,0.24,0.31,0,0,0.24,4,1.93431874762553,4,4490,0.152589693834839,"beans"
"1045","C1233",0.35,0.06,0.16,0.07,0.11,0,0,0.07,0.15,0,0.03,0.73,54090,15,0.04,0.87,0.1,0.18,0.15,0.25,0.1,0.32,0,0,12,1.1384108337961,7,7727.14285714286,0.655499048889028,"bottledfoods"
